UB mesh mode: 32 GPUs with full mesh connectivity (no switches)
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 3 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 5: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 6: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 7: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 4 <-> 17: delay=1000ns, bw=2000000000000
