[TOPOLOGY_DEBUG] Setting up network topology:
[TOPOLOGY_DEBUG]   node_num=32 gpus_per_server=8
[TOPOLOGY_DEBUG]   nvswitch_num=0 switch_num=0
[TOPOLOGY_DEBUG]   link_num=496 enable_ub_mesh=0
[UB_MESH_DEBUG] Detected UB mesh topology - implementing distributed routing
[LINK_DEBUG] Creating link 68: src=2 dst=10 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 69: src=2 dst=11 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 70: src=2 dst=12 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 71: src=2 dst=13 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 72: src=2 dst=14 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 73: src=2 dst=15 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 74: src=2 dst=16 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 75: src=2 dst=17 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 76: src=2 dst=18 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 77: src=2 dst=19 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 78: src=2 dst=20 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 79: src=2 dst=21 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 80: src=2 dst=22 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
[LINK_DEBUG] Creating link 81: src=2 dst=23 rate=2800Gbps delay=0.0005ms original_switch_id=0 effective_switch_id=2
